,YR,MO,DY,HR,LAT,LON,IM,ATTC,TI,LI,DS,VS,NID,II,ID,C1,DI,D,WI,W,VI,VV,WW,W1,SLP,A,PPP,IT,AT,WBTI,WBT,DPTI,DPT,SI,SST,N,NH,CL,HI,H,CM,CH,WD,WP,WH,SD,SP,SH,BSI,B10,B1,DCK,SID,PT,DUPS,DUPC,TC,PB,WX,SX,C2,AQCS,ND,TRMS,NQCS,QCE,LZ,QCZ,UID,RN1,RN2,RN3,RSA,IRF,grid_group,climate_zone,target_zone,comments
278,1795,3,11.0,6.0,19.9,89.08,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PY3,3,0,0,2,1,"(89, 19)",1,1.0,"CLEAR,,,,,,,,"
279,1795,3,11.0,6.0,18.72,88.72,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,317.0,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,88,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3PY4,3,0,0,2,1,"(88, 18)",1,1.0,"     ,SMOOTH,,,,,,,"
286,1795,3,12.0,6.0,19.07,89.08,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PYC,3,0,0,2,1,"(89, 19)",1,1.0,"CLEAR,FINE     ,SMOOTH SEA,FREQUENT RIPPLINGS,,,,,,,"
287,1795,3,12.0,6.0,17.78,88.97,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,317.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,78,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3PYD,3,0,0,2,1,"(88, 17)",1,1.0,"CLEAR,,,,,,,,"
293,1795,3,13.0,6.0,18.2,89.18,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,26.9,,,,,,,,,,,,,,,,,,,,,258,89,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PYL,3,0,0,2,1,"(89, 18)",1,1.0,"FAIR,PLEASANT     ,SMOOTH SEA,,,,,,,"
294,1795,3,13.0,7.0,8.93,82.47,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,,,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,294,82,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PYN,3,0,0,2,1,"(82, 8)",1,1.0,"CLOUDY,LIGHTNING,FAIR,PLEASANT     ,SWELL,,,,,,,"
299,1795,3,14.0,6.0,17.2,88.97,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,26.4,,,,,,,,,,,,,,,,,,,,,258,78,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PYU,3,0,0,2,1,"(88, 17)",1,1.0,"CLEAR,FINE     ,SMOOTH SEA,,,,,,,"
300,1795,3,14.0,6.0,15.2,87.75,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,35.0,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,57,248,148,5,0,,,,,,,,2.0,FF12FF,11AAAAAAAAAAAA,,,,CZ3PYV,3,0,0,2,1,"(87, 15)",1,1.0,"CLEAR,,,,,,,,"
301,1795,3,14.0,6.0,8.72,83.03,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,91.0,5.0,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,294,83,248,148,5,0,,,,,,,,2.0,F111FF,12AAAA1AAAAAAA,,,,CZ3PYW,3,0,0,2,1,"(83, 8)",1,1.0,"OVERCAST,CLOUDY,HOT,,,,,,,,"
306,1795,3,15.0,6.0,16.58,89.0,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,26.7,,,,,,,,,,,,,,,,,,,,,258,69,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PZ3,3,0,0,2,1,"(89, 16)",1,1.0,"FAIR,MILD     ,SMOOTH SEA,,,,,,,"
307,1795,3,15.0,6.0,8.27,83.2,1,3,0.0,5,,,3.0,10,LD HWKBRY,,,147.0,5.0,1.0,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,294,83,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3PZ5,3,0,0,2,1,"(83, 8)",1,1.0,"SULTRY,VERY HOT,FAIR,RAIN,UNSETTLED,CLOUDY,RAINY,,,,,,,,"
312,1795,3,16.0,6.0,16.05,88.87,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,5.0,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,258,68,248,148,5,0,,,,,,,,2.0,F111FF,12AAAA1AAAAAAA,,,,CZ3PZC,3,0,0,2,1,"(88, 16)",1,1.0,"FAIR     ,SMOOTH SEA,,,,,,,"
318,1795,3,17.0,6.0,15.82,88.77,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,258,58,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3PZL,3,0,0,2,1,"(88, 15)",1,1.0,"FAIR,MILD     ,SMOOTH SEA,,,,,,,"
324,1795,3,18.0,6.0,15.7,88.72,1,3,0.0,5,,,3.0,10,QUEEN 4,,,215.0,5.0,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,,,,,258,58,248,148,5,0,,,,,,,,2.0,F111FF,12AAAA1AAAAAAA,,,,CZ3PZV,3,0,0,2,1,"(88, 15)",1,1.0,"FAIR,HAZY,,,,,,,,"
325,1795,3,18.0,6.0,14.5,88.73,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,48,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3PZW,3,0,0,2,1,"(88, 14)",1,1.0,"CLOUDY,,,,,,,,"
332,1795,3,19.0,6.0,15.38,88.83,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,258,58,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q04,3,0,0,2,1,"(88, 15)",1,1.0,"HAZY,,,,,,,,"
333,1795,3,19.0,6.0,14.37,87.73,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,47,248,148,5,0,,,,,,,,2.0,FF11FF,12AAAAAAAAAAAA,,,,CZ3Q05,3,0,0,2,1,"(87, 14)",1,1.0,"CLEAR,,,,,,,,"
334,1795,3,19.0,6.0,13.32,84.08,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,5.0,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,258,34,248,148,5,0,,,,,,,,2.0,F1FFFF,12AAAA1AAAAAAA,,,,CZ3Q06,3,0,0,2,1,"(84, 13)",1,1.0,"FAIR,HAZY,,,,,,,,"
341,1795,3,20.0,6.0,14.97,88.55,1,3,0.0,5,,,3.0,10,QUEEN 4,,,159.0,5.0,1.0,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,48,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3Q0E,3,0,0,2,1,"(88, 14)",1,1.0,"LIGHTNING,HAZY     ,SMOOTH SEA,,,,,,,"
342,1795,3,20.0,6.0,14.05,88.7,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,103.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,48,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3Q0F,3,0,0,2,1,"(88, 14)",1,1.0,"CLOUDY,FAIR     ,SWELL,,,,,,,"
343,1795,3,20.0,6.0,13.1,84.73,1,3,0.0,5,,,3.0,10,EUROPA 2,,,126.0,5.0,1.0,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,34,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3Q0G,3,0,0,2,1,"(84, 13)",1,1.0,"CLOUDY,HAZY,PLEASANT,,,,,,,,"
349,1795,3,21.0,6.0,19.6,89.85,1,3,0.0,5,,,3.0,10,THETIS 1,,,227.0,5.0,6.7,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,258,99,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q0N,3,0,0,2,1,"(89, 19)",1,1.0,"HAZY,LIGHTNING,CLOUDY     ,LARGE SWELL,,,,,,,"
350,1795,3,21.0,6.0,15.27,87.6,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,258,57,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q0O,3,0,0,2,1,"(87, 15)",1,1.0,"CLOUDY,,,,,,,,"
351,1795,3,21.0,6.0,13.82,87.05,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,182.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,37,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3Q0P,3,0,0,2,1,"(87, 13)",1,1.0,"CLOUDY,,,,,,,,"
352,1795,3,21.0,6.0,13.2,86.02,1,3,0.0,5,,,3.0,10,EUROPA 2,,,171.0,5.0,2.6,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,36,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3Q0Q,3,0,0,2,1,"(86, 13)",1,1.0,"CLOUDY,FAIR,,,,,,,,"
357,1795,3,22.0,6.0,18.93,90.09,1,3,0.0,5,,,3.0,10,THETIS 1,,,227.0,5.0,6.7,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,259,80,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q0X,3,0,0,2,1,"(90, 18)",1,1.0,"LIGHTNING,CLOUDY,HAZY     ,SWELL FALLEN,,,,,,,"
358,1795,3,22.0,6.0,15.3,87.3,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,258,57,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q0Y,3,0,0,2,1,"(87, 15)",1,1.0,"CLOUDS,HAZY,CLOUDY,,,,,,,,"
359,1795,3,22.0,6.0,13.23,86.65,1,3,0.0,5,,,3.0,10,EUROPA 2,,,126.0,5.0,2.6,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,36,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3Q10,3,0,0,2,1,"(86, 13)",1,1.0,"CLOUDY,FAIR,,,,,,,,"
364,1795,3,23.0,6.0,18.99,90.38,1,3,0.0,5,,,3.0,10,THETIS 1,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,259,80,248,148,5,0,,,,,,,,2.0,F1FFCF,1AAAA11AAAAAAA,,,,CZ3Q17,3,0,0,2,1,"(90, 18)",1,1.0,"FAIR     ,SMOOTH WATER,,,,,,,"
365,1795,3,23.0,6.0,14.88,86.65,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,258,46,248,148,5,0,,,,,,,,2.0,F1FFFF,1AAAAA1AAAAAAA,,,,CZ3Q18,3,0,0,2,1,"(86, 14)",1,1.0,"HAZY,,,,,,,,"
366,1795,3,23.0,6.0,12.58,87.05,1,3,0.0,5,,,3.0,10,EUROPA 2,,,92.0,5.0,9.3,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,27,248,148,5,0,,,,,,,,2.0,F141FF,11AAAA1AAAAAAA,,,,CZ3Q19,3,0,0,2,1,"(87, 12)",1,1.0,"CLOUDY     ,SWELL,,,,,,,"
367,1795,3,23.0,6.0,12.13,85.53,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,114.0,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,25,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3Q1A,3,0,0,2,1,"(85, 12)",1,1.0,"CLOUDY,FAIR,,,,,,,,"
373,1795,3,24.0,6.0,18.71,90.55,1,3,0.0,5,,,3.0,10,THETIS 1,,,306.0,5.0,2.6,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,259,80,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q1I,3,0,0,2,1,"(90, 18)",1,1.0,"FAIR,HAZY,VERY SULTRY     ,VERY STRONG CURRENT,RIPPLING,,,,,,,"
374,1795,3,24.0,6.0,14.07,85.8,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,258,45,248,148,5,0,,,,,,,,2.0,F1FFFF,1AAAAA1AAAAAAA,,,,CZ3Q1J,3,0,0,2,1,"(85, 14)",1,1.0,"HAZY     ,SWELL,,,,,,,"
375,1795,3,24.0,6.0,11.77,83.5,1,3,0.0,5,,,3.0,10,ROCKHAM 1,,,80.0,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,13,248,148,5,0,,,,,,,,2.0,FF11FF,11AAAAAAAAAAAA,,,,CZ3Q1K,3,0,0,2,1,"(83, 11)",1,1.0,"FAIR,,,,,,,,"
376,1795,3,24.0,6.0,11.42,87.48,1,3,0.0,5,,,3.0,10,EUROPA 2,,,81.0,5.0,9.3,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,17,248,148,5,0,,,,,,,,2.0,F141FF,11AAAA1AAAAAAA,,,,CZ3Q1L,3,0,0,2,1,"(87, 11)",1,1.0,"HAZY,FAIR,,,,,,,,"
382,1795,3,25.0,6.0,18.63,90.8,1,3,0.0,5,,,3.0,10,THETIS 1,,,,5.0,,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,259,80,248,148,5,0,,,,,,,,2.0,F1FFCF,12AAA11AAAAAAA,,,,CZ3Q1T,3,0,0,2,1,"(90, 18)",1,1.0,"CLEAR,CLOUDY,FAIR,SULTRY     ,LONG SWELL,STRONG CURRENT E,,,,,,,"
383,1795,3,25.0,6.0,13.42,84.4,1,3,0.0,5,,,3.0,10,QUEEN 4,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,258,34,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q1U,3,0,0,2,1,"(84, 13)",1,1.0,"CLOUDY     ,LONG SWELL,,,,,,,"
384,1795,3,25.0,6.0,10.08,88.07,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,5.0,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,258,8,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q1V,3,0,0,2,1,"(88, 10)",1,1.0,"LIGHTNING,HAZY     ,CONFUSED HEAD SEA,,,,,,,"
391,1795,3,26.0,6.0,18.12,90.77,1,3,0.0,5,,,3.0,10,THETIS 1,,,,5.0,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,259,80,248,148,5,0,,,,,,,,2.0,F1FFCF,12AAA11AAAAAAA,,,,CZ3Q23,3,0,0,2,1,"(90, 18)",1,1.0,"FAIR,VERY SULTRY,,,,,,,,"
393,1795,3,26.0,6.0,9.5,88.08,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,5.0,,,,,,,,,,28.9,,,,,,,,,,,,,,,,,,,,,294,98,248,148,5,0,,,,,,,,2.0,F1FFFF,17AAAA1AAAAAAA,,,,CZ3Q25,3,0,0,2,1,"(88, 9)",1,1.0,"HAZY     ,CONFUSED HEAVY SWELL,,,,,,,"
399,1795,3,27.0,6.0,17.13,90.7,1,3,0.0,5,,,3.0,10,THETIS 1,,,227.0,5.0,6.7,,,,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,259,70,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q2C,3,0,0,2,1,"(90, 17)",1,1.0,"CLEAR,,,,,,,,"
400,1795,3,27.0,6.0,9.63,88.67,1,3,0.0,5,,,3.0,10,EUROPA 2,,,103.0,5.0,6.7,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,294,98,248,148,5,0,,,,,,,,2.0,F111FF,11AAAA1AAAAAAA,,,,CZ3Q2D,3,0,0,2,1,"(88, 9)",1,1.0,"LIGHTNING,SQUALLY,CLOUDY,HAZY     ,SWELL ABATED,,,,,,,"
407,1795,3,28.0,6.0,16.65,90.05,1,3,0.0,5,,,3.0,10,THETIS 1,,,227.0,5.0,6.7,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,259,60,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q2L,3,0,0,2,1,"(90, 16)",1,1.0,"FAIR     ,HEAVY CROSS SWELL,RIPPLINGS,,,,,,,"
408,1795,3,28.0,6.0,8.57,88.67,1,3,0.0,5,,,3.0,10,EUROPA 2,,,,5.0,,,,,,,,,,29.4,,,,,,,,,,,,,,,,,,,,,294,88,248,148,5,0,,,,,,,,2.0,F1FFFF,12AAAA1AAAAAAA,,,,CZ3Q2M,3,0,0,2,1,"(88, 8)",1,1.0,"FAIR,FINE     ,SWELL ABATED,,,,,,,"
414,1795,3,29.0,6.0,16.22,89.4,1,3,0.0,5,,,3.0,10,THETIS 1,,,238.0,5.0,6.7,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,258,69,248,148,5,0,,,,,,,,2.0,F111CF,11AAA11AAAAAAA,,,,CZ3Q2S,3,0,0,2,1,"(89, 16)",1,1.0,"SQUALLY,CLOUDY,FAIR,SQUALLS     ,LARGE SWELL,,,,,,,"
421,1795,3,30.0,6.0,14.85,89.84,1,3,0.0,5,,,3.0,10,THETIS 1,,,,,,,,,,1007.9,,,,28.3,,,,,,,,,,,,,,,,,,,,,258,49,248,148,5,0,,,,,,,,2.0,F1FF1F,1AAAA11AAAAAAA,,,,CZ3Q30,3,0,0,2,1,"(89, 14)",1,1.0,"CLOUDY,CLEAR,,,,,,,,"
428,1795,3,31.0,6.0,13.7,89.99,1,3,0.0,5,,,3.0,10,THETIS 1,,,,,,,,,,1007.2,,,,28.3,,,,,,,,,,,,,,,,,,,,,258,39,248,148,5,0,,,,,,,,2.0,F1FF1F,17AAA11AAAAAAA,,,,CZ3Q38,3,0,0,2,1,"(89, 13)",1,1.0,"CLOUDY,CLEAR,,,,,,,,"
435,1795,4,1.0,6.0,13.05,89.83,1,3,0.0,5,,,3.0,10,THETIS 1,,,,,,,,,,1007.1,,,,28.6,,,,,,,,,,,,,,,,,,,,,258,39,248,148,5,0,,,,,,,,2.0,F1FF1F,17AAA11AAAAAAA,,,,CZ3Q3G,3,0,0,2,1,"(89, 13)",1,1.0,"FAIR,HOT,SULTRY     ,SWELL,,,,,,,"
